full_arm,global_model,arm,k,mae,n_ligands
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@CENTRAL,1,0.7575156334349555,143
GEN9_A2_END_d05 | OFFSET_K2@CENTRAL,GEN9_A2_END_d05,OFFSET_K2@CENTRAL,5,0.6728485304414537,99
GEN9_A2_END_d05 | OFFSET_K2@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,OFFSET_K2@CENTRAL_THEN_SPREAD,1,0.763930421576399,143
GEN9_A2_END_d05 | OFFSET_K2@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,OFFSET_K2@CENTRAL_THEN_SPREAD,2,0.6952753529171412,143
GEN9_A2_END_d05 | OFFSET_K2@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,OFFSET_K2@CENTRAL_THEN_SPREAD,3,0.6683893462053924,140
GEN9_A2_END_d05 | OFFSET_K2@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,OFFSET_K2@CENTRAL_THEN_SPREAD,5,0.658701546825576,99
GEN9_A2_END_d05 | OFFSET_K2@D_OPTIMAL,GEN9_A2_END_d05,OFFSET_K2@D_OPTIMAL,1,1.030961470399617,143
GEN9_A2_END_d05 | OFFSET_K2@D_OPTIMAL,GEN9_A2_END_d05,OFFSET_K2@D_OPTIMAL,2,0.7321694123289568,143
GEN9_A2_END_d05 | OFFSET_K2@D_OPTIMAL,GEN9_A2_END_d05,OFFSET_K2@D_OPTIMAL,3,0.6842366994740329,140
GEN9_A2_END_d05 | OFFSET_K2@D_OPTIMAL,GEN9_A2_END_d05,OFFSET_K2@D_OPTIMAL,5,0.6576909441852067,99
GEN9_A2_END_d05 | OFFSET_K2@MEDOID,GEN9_A2_END_d05,OFFSET_K2@MEDOID,1,0.763930421576399,143
GEN9_A2_END_d05 | OFFSET_K2@MEDOID,GEN9_A2_END_d05,OFFSET_K2@MEDOID,2,0.7250170158379781,143
GEN9_A2_END_d05 | OFFSET_K2@MEDOID,GEN9_A2_END_d05,OFFSET_K2@MEDOID,3,0.6925545671413085,140
GEN9_A2_END_d05 | OFFSET_K2@MEDOID,GEN9_A2_END_d05,OFFSET_K2@MEDOID,5,0.6813738056637623,99
GEN9_A2_END_d05 | OFFSET_K2@ORACLE[OFFSET_K1],GEN9_A2_END_d05,OFFSET_K2@ORACLE[OFFSET_K1],1,0.55849852688316,143
GEN9_A2_END_d05 | OFFSET_K2@ORACLE[OFFSET_K1],GEN9_A2_END_d05,OFFSET_K2@ORACLE[OFFSET_K1],2,0.5597698436995354,143
GEN9_A2_END_d05 | OFFSET_K2@ORACLE[OFFSET_K1],GEN9_A2_END_d05,OFFSET_K2@ORACLE[OFFSET_K1],3,0.5846190565173082,140
GEN9_A2_END_d05 | OFFSET_K2@ORACLE[OFFSET_K1],GEN9_A2_END_d05,OFFSET_K2@ORACLE[OFFSET_K1],5,0.5989307463402358,99
GEN9_A2_END_d05 | OFFSET_K2@RANDOM,GEN9_A2_END_d05,OFFSET_K2@RANDOM,1,0.83994356467895,143
GEN9_A2_END_d05 | OFFSET_K2@RANDOM,GEN9_A2_END_d05,OFFSET_K2@RANDOM,2,0.7240444647253833,143
GEN9_A2_END_d05 | OFFSET_K2@RANDOM,GEN9_A2_END_d05,OFFSET_K2@RANDOM,3,0.6788954169108368,140
GEN9_A2_END_d05 | OFFSET_K2@RANDOM,GEN9_A2_END_d05,OFFSET_K2@RANDOM,5,0.6589556983164079,99
GEN9_A2_END_d05 | OFFSET_K3@CENTRAL,GEN9_A2_END_d05,OFFSET_K3@CENTRAL,1,0.767551197938925,143
GEN9_A2_END_d05 | OFFSET_K3@CENTRAL,GEN9_A2_END_d05,OFFSET_K3@CENTRAL,2,0.7126830238225224,143
GEN9_A2_END_d05 | OFFSET_K3@CENTRAL,GEN9_A2_END_d05,OFFSET_K3@CENTRAL,3,0.659011778634632,140
GEN9_A2_END_d05 | OFFSET_K3@CENTRAL,GEN9_A2_END_d05,OFFSET_K3@CENTRAL,5,0.6527746185060368,99
GEN9_A2_END_d05 | OFFSET_K3@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,OFFSET_K3@CENTRAL_THEN_SPREAD,1,0.763930421576399,143
GEN9_A2_END_d05 | OFFSET_K3@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,OFFSET_K3@CENTRAL_THEN_SPREAD,2,0.6534894708326029,143
GEN9_A2_END_d05 | OFFSET_K3@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,OFFSET_K3@CENTRAL_THEN_SPREAD,3,0.59644618376001,140
GEN9_A2_END_d05 | OFFSET_K3@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,OFFSET_K3@CENTRAL_THEN_SPREAD,5,0.5846025534613342,99
GEN9_A2_END_d05 | OFFSET_K3@D_OPTIMAL,GEN9_A2_END_d05,OFFSET_K3@D_OPTIMAL,1,1.030961470399617,143
GEN9_A2_END_d05 | OFFSET_K3@D_OPTIMAL,GEN9_A2_END_d05,OFFSET_K3@D_OPTIMAL,2,0.6838768857809329,143
GEN9_A2_END_d05 | OFFSET_K3@D_OPTIMAL,GEN9_A2_END_d05,OFFSET_K3@D_OPTIMAL,3,0.6148918261209806,140
GEN9_A2_END_d05 | OFFSET_K3@D_OPTIMAL,GEN9_A2_END_d05,OFFSET_K3@D_OPTIMAL,5,0.584792022900354,99
GEN9_A2_END_d05 | OFFSET_K3@MEDOID,GEN9_A2_END_d05,OFFSET_K3@MEDOID,1,0.763930421576399,143
GEN9_A2_END_d05 | OFFSET_K3@MEDOID,GEN9_A2_END_d05,OFFSET_K3@MEDOID,2,0.7185638685302502,143
GEN9_A2_END_d05 | OFFSET_K3@MEDOID,GEN9_A2_END_d05,OFFSET_K3@MEDOID,3,0.6673843062926748,140
GEN9_A2_END_d05 | OFFSET_K3@MEDOID,GEN9_A2_END_d05,OFFSET_K3@MEDOID,5,0.6647284016773811,99
GEN9_A2_END_d05 | OFFSET_K3@ORACLE[OFFSET_K1],GEN9_A2_END_d05,OFFSET_K3@ORACLE[OFFSET_K1],1,0.5584985268831602,143
GEN9_A2_END_d05 | OFFSET_K3@ORACLE[OFFSET_K1],GEN9_A2_END_d05,OFFSET_K3@ORACLE[OFFSET_K1],2,0.5494834994226333,143
GEN9_A2_END_d05 | OFFSET_K3@ORACLE[OFFSET_K1],GEN9_A2_END_d05,OFFSET_K3@ORACLE[OFFSET_K1],3,0.5584107963999771,140
GEN9_A2_END_d05 | OFFSET_K3@ORACLE[OFFSET_K1],GEN9_A2_END_d05,OFFSET_K3@ORACLE[OFFSET_K1],5,0.5789739461954994,99
GEN9_A2_END_d05 | OFFSET_K3@RANDOM,GEN9_A2_END_d05,OFFSET_K3@RANDOM,1,0.83994356467895,143
GEN9_A2_END_d05 | OFFSET_K3@RANDOM,GEN9_A2_END_d05,OFFSET_K3@RANDOM,2,0.6948504040303198,143
GEN9_A2_END_d05 | OFFSET_K3@RANDOM,GEN9_A2_END_d05,OFFSET_K3@RANDOM,3,0.6296073255280982,140
GEN9_A2_END_d05 | OFFSET_K3@RANDOM,GEN9_A2_END_d05,OFFSET_K3@RANDOM,5,0.604286072852833,99
GEN9_A2_END_d05 | SERIES_MAP@CENTRAL,GEN9_A2_END_d05,SERIES_MAP@CENTRAL,1,0.767551197938925,143
GEN9_A2_END_d05 | SERIES_MAP@CENTRAL,GEN9_A2_END_d05,SERIES_MAP@CENTRAL,2,0.7151945099406274,143
GEN9_A2_END_d05 | SERIES_MAP@CENTRAL,GEN9_A2_END_d05,SERIES_MAP@CENTRAL,3,0.684190921058121,140
GEN9_A2_END_d05 | SERIES_MAP@CENTRAL,GEN9_A2_END_d05,SERIES_MAP@CENTRAL,5,0.680060988890712,99
GEN9_A2_END_d05 | SERIES_MAP@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,SERIES_MAP@CENTRAL_THEN_SPREAD,1,0.763930421576399,143
GEN9_A2_END_d05 | SERIES_MAP@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,SERIES_MAP@CENTRAL_THEN_SPREAD,2,0.7157858426950864,143
GEN9_A2_END_d05 | SERIES_MAP@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,SERIES_MAP@CENTRAL_THEN_SPREAD,3,0.6901452378536105,140
GEN9_A2_END_d05 | SERIES_MAP@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,SERIES_MAP@CENTRAL_THEN_SPREAD,5,0.6835018526172828,99
GEN9_A2_END_d05 | SERIES_MAP@D_OPTIMAL,GEN9_A2_END_d05,SERIES_MAP@D_OPTIMAL,1,1.030961470399617,143
GEN9_A2_END_d05 | SERIES_MAP@D_OPTIMAL,GEN9_A2_END_d05,SERIES_MAP@D_OPTIMAL,2,0.7566037378696332,143
GEN9_A2_END_d05 | SERIES_MAP@D_OPTIMAL,GEN9_A2_END_d05,SERIES_MAP@D_OPTIMAL,3,0.7133277550845515,140
GEN9_A2_END_d05 | SERIES_MAP@D_OPTIMAL,GEN9_A2_END_d05,SERIES_MAP@D_OPTIMAL,5,0.6976971413650755,99
GEN9_A2_END_d05 | SERIES_MAP@MEDOID,GEN9_A2_END_d05,SERIES_MAP@MEDOID,1,0.763930421576399,143
GEN9_A2_END_d05 | SERIES_MAP@MEDOID,GEN9_A2_END_d05,SERIES_MAP@MEDOID,2,0.7199901848717308,143
GEN9_A2_END_d05 | SERIES_MAP@MEDOID,GEN9_A2_END_d05,SERIES_MAP@MEDOID,3,0.6894756654241793,140
GEN9_A2_END_d05 | SERIES_MAP@MEDOID,GEN9_A2_END_d05,SERIES_MAP@MEDOID,5,0.6885382488644911,99
GEN9_A2_END_d05 | SERIES_MAP@ORACLE[OFFSET_K1],GEN9_A2_END_d05,SERIES_MAP@ORACLE[OFFSET_K1],1,0.55849852688316,143
GEN9_A2_END_d05 | SERIES_MAP@ORACLE[OFFSET_K1],GEN9_A2_END_d05,SERIES_MAP@ORACLE[OFFSET_K1],2,0.5639893396534525,143
GEN9_A2_END_d05 | SERIES_MAP@ORACLE[OFFSET_K1],GEN9_A2_END_d05,SERIES_MAP@ORACLE[OFFSET_K1],3,0.5942593826539725,140
GEN9_A2_END_d05 | SERIES_MAP@ORACLE[OFFSET_K1],GEN9_A2_END_d05,SERIES_MAP@ORACLE[OFFSET_K1],5,0.6212799260309475,99
GEN9_A2_END_d05 | SERIES_MAP@RANDOM,GEN9_A2_END_d05,SERIES_MAP@RANDOM,1,0.83994356467895,143
GEN9_A2_END_d05 | SERIES_MAP@RANDOM,GEN9_A2_END_d05,SERIES_MAP@RANDOM,2,0.7327114358404083,143
GEN9_A2_END_d05 | SERIES_MAP@RANDOM,GEN9_A2_END_d05,SERIES_MAP@RANDOM,3,0.6947896847127791,140
GEN9_A2_END_d05 | SERIES_MAP@RANDOM,GEN9_A2_END_d05,SERIES_MAP@RANDOM,5,0.6809367189975578,99
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@CENTRAL,GEN9_A2_END_d05,SERIES_MAP_LEVELONLY@CENTRAL,1,0.767551197938925,143
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@CENTRAL,GEN9_A2_END_d05,SERIES_MAP_LEVELONLY@CENTRAL,2,0.7153089279426247,143
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@CENTRAL,GEN9_A2_END_d05,SERIES_MAP_LEVELONLY@CENTRAL,3,0.6848223658981575,140
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@CENTRAL,GEN9_A2_END_d05,SERIES_MAP_LEVELONLY@CENTRAL,5,0.6811777450606852,99
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,SERIES_MAP_LEVELONLY@CENTRAL_THEN_SPREAD,1,0.763930421576399,143
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,SERIES_MAP_LEVELONLY@CENTRAL_THEN_SPREAD,2,0.7171756337275275,143
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,SERIES_MAP_LEVELONLY@CENTRAL_THEN_SPREAD,3,0.6925744206942326,140
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,SERIES_MAP_LEVELONLY@CENTRAL_THEN_SPREAD,5,0.6872346697506536,99
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@D_OPTIMAL,GEN9_A2_END_d05,SERIES_MAP_LEVELONLY@D_OPTIMAL,1,1.030961470399617,143
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@D_OPTIMAL,GEN9_A2_END_d05,SERIES_MAP_LEVELONLY@D_OPTIMAL,2,0.7584036954389909,143
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@D_OPTIMAL,GEN9_A2_END_d05,SERIES_MAP_LEVELONLY@D_OPTIMAL,3,0.7160852494683464,140
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@D_OPTIMAL,GEN9_A2_END_d05,SERIES_MAP_LEVELONLY@D_OPTIMAL,5,0.7023187171897296,99
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@MEDOID,GEN9_A2_END_d05,SERIES_MAP_LEVELONLY@MEDOID,1,0.763930421576399,143
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@MEDOID,GEN9_A2_END_d05,SERIES_MAP_LEVELONLY@MEDOID,2,0.720090790151882,143
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@MEDOID,GEN9_A2_END_d05,SERIES_MAP_LEVELONLY@MEDOID,3,0.6900690342566159,140
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@MEDOID,GEN9_A2_END_d05,SERIES_MAP_LEVELONLY@MEDOID,5,0.6896292443175943,99
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@ORACLE[OFFSET_K1],GEN9_A2_END_d05,SERIES_MAP_LEVELONLY@ORACLE[OFFSET_K1],1,0.55849852688316,143
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@ORACLE[OFFSET_K1],GEN9_A2_END_d05,SERIES_MAP_LEVELONLY@ORACLE[OFFSET_K1],2,0.5642385657412003,143
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@ORACLE[OFFSET_K1],GEN9_A2_END_d05,SERIES_MAP_LEVELONLY@ORACLE[OFFSET_K1],3,0.594970268393065,140
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@ORACLE[OFFSET_K1],GEN9_A2_END_d05,SERIES_MAP_LEVELONLY@ORACLE[OFFSET_K1],5,0.6225314707951753,99
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@RANDOM,GEN9_A2_END_d05,SERIES_MAP_LEVELONLY@RANDOM,1,0.83994356467895,143
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@RANDOM,GEN9_A2_END_d05,SERIES_MAP_LEVELONLY@RANDOM,2,0.7334791937968597,143
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@RANDOM,GEN9_A2_END_d05,SERIES_MAP_LEVELONLY@RANDOM,3,0.6963680729976985,140
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@RANDOM,GEN9_A2_END_d05,SERIES_MAP_LEVELONLY@RANDOM,5,0.6837957692627643,99
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@CENTRAL,GEN9_A2_END_d05,SERIES_MAP_NOSERIES@CENTRAL,1,0.767551197938925,143
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@CENTRAL,GEN9_A2_END_d05,SERIES_MAP_NOSERIES@CENTRAL,2,0.7222663188758278,143
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@CENTRAL,GEN9_A2_END_d05,SERIES_MAP_NOSERIES@CENTRAL,3,0.6983079906192801,140
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@CENTRAL,GEN9_A2_END_d05,SERIES_MAP_NOSERIES@CENTRAL,5,0.715057720749137,99
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,SERIES_MAP_NOSERIES@CENTRAL_THEN_SPREAD,1,0.763930421576399,143
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,SERIES_MAP_NOSERIES@CENTRAL_THEN_SPREAD,2,0.7231762358986442,143
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,SERIES_MAP_NOSERIES@CENTRAL_THEN_SPREAD,3,0.7067426915603428,140
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,SERIES_MAP_NOSERIES@CENTRAL_THEN_SPREAD,5,0.7199943697041457,99
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@D_OPTIMAL,GEN9_A2_END_d05,SERIES_MAP_NOSERIES@D_OPTIMAL,1,1.030961470399617,143
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@D_OPTIMAL,GEN9_A2_END_d05,SERIES_MAP_NOSERIES@D_OPTIMAL,2,0.7607954740701078,143
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@D_OPTIMAL,GEN9_A2_END_d05,SERIES_MAP_NOSERIES@D_OPTIMAL,3,0.7249645092481014,140
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@D_OPTIMAL,GEN9_A2_END_d05,SERIES_MAP_NOSERIES@D_OPTIMAL,5,0.7285186520024298,99
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@MEDOID,GEN9_A2_END_d05,SERIES_MAP_NOSERIES@MEDOID,1,0.763930421576399,143
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@MEDOID,GEN9_A2_END_d05,SERIES_MAP_NOSERIES@MEDOID,2,0.7271412481262343,143
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@MEDOID,GEN9_A2_END_d05,SERIES_MAP_NOSERIES@MEDOID,3,0.7034762095710042,140
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@MEDOID,GEN9_A2_END_d05,SERIES_MAP_NOSERIES@MEDOID,5,0.7226405940637696,99
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@ORACLE[OFFSET_K1],GEN9_A2_END_d05,SERIES_MAP_NOSERIES@ORACLE[OFFSET_K1],1,0.55849852688316,143
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@ORACLE[OFFSET_K1],GEN9_A2_END_d05,SERIES_MAP_NOSERIES@ORACLE[OFFSET_K1],2,0.5639038883178431,143
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@ORACLE[OFFSET_K1],GEN9_A2_END_d05,SERIES_MAP_NOSERIES@ORACLE[OFFSET_K1],3,0.5959630134331698,140
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@ORACLE[OFFSET_K1],GEN9_A2_END_d05,SERIES_MAP_NOSERIES@ORACLE[OFFSET_K1],5,0.6332259253244653,99
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@RANDOM,GEN9_A2_END_d05,SERIES_MAP_NOSERIES@RANDOM,1,0.83994356467895,143
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@RANDOM,GEN9_A2_END_d05,SERIES_MAP_NOSERIES@RANDOM,2,0.7388136588772813,143
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@RANDOM,GEN9_A2_END_d05,SERIES_MAP_NOSERIES@RANDOM,3,0.7080997958326571,140
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@RANDOM,GEN9_A2_END_d05,SERIES_MAP_NOSERIES@RANDOM,5,0.7176631135942023,99
GEN9_A2_END_d05 | SLOPE_L_s1_K1@CENTRAL,GEN9_A2_END_d05,SLOPE_L_s1_K1@CENTRAL,1,0.7518288110607914,143
GEN9_A2_END_d05 | SLOPE_L_s1_K1@CENTRAL,GEN9_A2_END_d05,SLOPE_L_s1_K1@CENTRAL,2,0.7068341935519177,143
GEN9_A2_END_d05 | SLOPE_L_s1_K1@CENTRAL,GEN9_A2_END_d05,SLOPE_L_s1_K1@CENTRAL,3,0.6835328358892264,140
GEN9_A2_END_d05 | SLOPE_L_s1_K1@CENTRAL,GEN9_A2_END_d05,SLOPE_L_s1_K1@CENTRAL,5,0.7010383174532409,99
GEN9_A2_END_d05 | SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,1,0.7495516641348418,143
GEN9_A2_END_d05 | SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,2,0.7087457134252488,143
GEN9_A2_END_d05 | SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,3,0.6941760906926852,140
GEN9_A2_END_d05 | SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,5,0.709309018313264,99
GEN9_A2_END_d05 | SLOPE_L_s1_K1@D_OPTIMAL,GEN9_A2_END_d05,SLOPE_L_s1_K1@D_OPTIMAL,1,0.9928609549307514,143
GEN9_A2_END_d05 | SLOPE_L_s1_K1@D_OPTIMAL,GEN9_A2_END_d05,SLOPE_L_s1_K1@D_OPTIMAL,2,0.7439967254020804,143
GEN9_A2_END_d05 | SLOPE_L_s1_K1@D_OPTIMAL,GEN9_A2_END_d05,SLOPE_L_s1_K1@D_OPTIMAL,3,0.7118613810333,140
GEN9_A2_END_d05 | SLOPE_L_s1_K1@D_OPTIMAL,GEN9_A2_END_d05,SLOPE_L_s1_K1@D_OPTIMAL,5,0.717883506801248,99
GEN9_A2_END_d05 | SLOPE_L_s1_K1@MEDOID,GEN9_A2_END_d05,SLOPE_L_s1_K1@MEDOID,1,0.7495516641348418,143
GEN9_A2_END_d05 | SLOPE_L_s1_K1@MEDOID,GEN9_A2_END_d05,SLOPE_L_s1_K1@MEDOID,2,0.7113523458246821,143
GEN9_A2_END_d05 | SLOPE_L_s1_K1@MEDOID,GEN9_A2_END_d05,SLOPE_L_s1_K1@MEDOID,3,0.6881110940343139,140
GEN9_A2_END_d05 | SLOPE_L_s1_K1@MEDOID,GEN9_A2_END_d05,SLOPE_L_s1_K1@MEDOID,5,0.7078560247514237,99
GEN9_A2_END_d05 | SLOPE_L_s1_K1@ORACLE[OFFSET_K1],GEN9_A2_END_d05,SLOPE_L_s1_K1@ORACLE[OFFSET_K1],1,0.5527437777925335,143
GEN9_A2_END_d05 | SLOPE_L_s1_K1@ORACLE[OFFSET_K1],GEN9_A2_END_d05,SLOPE_L_s1_K1@ORACLE[OFFSET_K1],2,0.5570105172810216,143
GEN9_A2_END_d05 | SLOPE_L_s1_K1@ORACLE[OFFSET_K1],GEN9_A2_END_d05,SLOPE_L_s1_K1@ORACLE[OFFSET_K1],3,0.5874987343334525,140
GEN9_A2_END_d05 | SLOPE_L_s1_K1@ORACLE[OFFSET_K1],GEN9_A2_END_d05,SLOPE_L_s1_K1@ORACLE[OFFSET_K1],5,0.6236873386694735,99
GEN9_A2_END_d05 | SLOPE_L_s1_K1@RANDOM,GEN9_A2_END_d05,SLOPE_L_s1_K1@RANDOM,1,0.8235060216352997,143
GEN9_A2_END_d05 | SLOPE_L_s1_K1@RANDOM,GEN9_A2_END_d05,SLOPE_L_s1_K1@RANDOM,2,0.725640319689059,143
GEN9_A2_END_d05 | SLOPE_L_s1_K1@RANDOM,GEN9_A2_END_d05,SLOPE_L_s1_K1@RANDOM,3,0.6956754763008448,140
GEN9_A2_END_d05 | SLOPE_L_s1_K1@RANDOM,GEN9_A2_END_d05,SLOPE_L_s1_K1@RANDOM,5,0.7068016128987079,99
GEN9_A2_END_d05 | SLOPE_L_s1_K3@CENTRAL,GEN9_A2_END_d05,SLOPE_L_s1_K3@CENTRAL,1,0.7518288110607914,143
GEN9_A2_END_d05 | SLOPE_L_s1_K3@CENTRAL,GEN9_A2_END_d05,SLOPE_L_s1_K3@CENTRAL,2,0.6972128373923787,143
GEN9_A2_END_d05 | SLOPE_L_s1_K3@CENTRAL,GEN9_A2_END_d05,SLOPE_L_s1_K3@CENTRAL,3,0.6439299738270786,140
GEN9_A2_END_d05 | SLOPE_L_s1_K3@CENTRAL,GEN9_A2_END_d05,SLOPE_L_s1_K3@CENTRAL,5,0.6365392455590835,99
GEN9_A2_END_d05 | SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,1,0.7495516641348418,143
GEN9_A2_END_d05 | SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,2,0.6399095691283873,143
GEN9_A2_END_d05 | SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,3,0.5848269621861107,140
GEN9_A2_END_d05 | SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,GEN9_A2_END_d05,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,5,0.5724783953134363,99
GEN9_A2_END_d05 | SLOPE_L_s1_K3@D_OPTIMAL,GEN9_A2_END_d05,SLOPE_L_s1_K3@D_OPTIMAL,1,0.9928609549307514,143
GEN9_A2_END_d05 | SLOPE_L_s1_K3@D_OPTIMAL,GEN9_A2_END_d05,SLOPE_L_s1_K3@D_OPTIMAL,2,0.6665052020142972,143
GEN9_A2_END_d05 | SLOPE_L_s1_K3@D_OPTIMAL,GEN9_A2_END_d05,SLOPE_L_s1_K3@D_OPTIMAL,3,0.5994835947913864,140
GEN9_A2_END_d05 | SLOPE_L_s1_K3@D_OPTIMAL,GEN9_A2_END_d05,SLOPE_L_s1_K3@D_OPTIMAL,5,0.5729288660238566,99
GEN9_A2_END_d05 | SLOPE_L_s1_K3@MEDOID,GEN9_A2_END_d05,SLOPE_L_s1_K3@MEDOID,1,0.7495516641348418,143
GEN9_A2_END_d05 | SLOPE_L_s1_K3@MEDOID,GEN9_A2_END_d05,SLOPE_L_s1_K3@MEDOID,2,0.7027100643329721,143
GEN9_A2_END_d05 | SLOPE_L_s1_K3@MEDOID,GEN9_A2_END_d05,SLOPE_L_s1_K3@MEDOID,3,0.6517688003656515,140
GEN9_A2_END_d05 | SLOPE_L_s1_K3@MEDOID,GEN9_A2_END_d05,SLOPE_L_s1_K3@MEDOID,5,0.6478623724718523,99
GEN9_A2_END_d05 | SLOPE_L_s1_K3@ORACLE[OFFSET_K1],GEN9_A2_END_d05,SLOPE_L_s1_K3@ORACLE[OFFSET_K1],1,0.5527437777925335,143
GEN9_A2_END_d05 | SLOPE_L_s1_K3@ORACLE[OFFSET_K1],GEN9_A2_END_d05,SLOPE_L_s1_K3@ORACLE[OFFSET_K1],2,0.5413375200097645,143
GEN9_A2_END_d05 | SLOPE_L_s1_K3@ORACLE[OFFSET_K1],GEN9_A2_END_d05,SLOPE_L_s1_K3@ORACLE[OFFSET_K1],3,0.5484711261414346,140
GEN9_A2_END_d05 | SLOPE_L_s1_K3@ORACLE[OFFSET_K1],GEN9_A2_END_d05,SLOPE_L_s1_K3@ORACLE[OFFSET_K1],5,0.5654001710320422,99
GEN9_A2_END_d05 | SLOPE_L_s1_K3@RANDOM,GEN9_A2_END_d05,SLOPE_L_s1_K3@RANDOM,1,0.8235060216352997,143
